Number,Format,Inning,Position,Score,Balls,Strike Rate,Against,Venue,Host Nation,Series,Year,Team Total,Wickets lost,Not Out,MOTM,Win,Captain
68,ODI,2,3,104,112,92.85714286,Australia,Adelaide,Australia,Bilateral,2019,299,4,No,Yes,Yes,Yes
69,ODI,1,3,116,120,96.66666667,Australia,Nagpur,India,Bilateral,2019,250,10,No,Yes,Yes,Yes
70,ODI,2,3,123,95,129.4736842,Australia,Ranchi,India,Bilateral,2019,313,5,No,No,No,Yes
71,T20,1,Open,100,58,172.4137931,Kolkata Knight Riders,Kolkata,India,IPL,2019,213,4,No,Yes,Yes,Yes
72,ODI,1,3,120,125,96,West Indies,Port Of Spain,West Indies,Bilateral,2019,279,7,No,Yes,Yes,Yes
73,ODI,2,3,114,99,115.1515152,West Indies,Port Of Spain,West Indies,Bilateral,2019,256,4,Yes,Yes,Yes,Yes
74,Test,1,4,254,336,75.5952381,South Africa,Pune,India,Bilateral,2019,601,5,Yes,Yes,Yes,Yes
75,Test,2,4,136,194,70.10309278,Bangladesh,Kolkata,India,Bilateral,2019,347,9,No,No,Yes,Yes
76,T20i,1,Open,122,61,200,Afghanistan,Dubai,UAE,Asia Cup,2022,212,2,Yes,Yes,Yes,No
77,ODI,1,3,113,91,124.1758242,Bangladesh,Chattogram,Bangladesh,Bilateral,2022,409,8,No,No,Yes,No
78,ODI,1,3,113,87,129.8850575,Sri Lanka,Guwahati,India,Bilateral,2023,373,7,No,Yes,Yes,No
79,ODI,1,3,166,110,150.9090909,Sri Lanka,Thiruvananthapuram,India,Bilateral,2023,390,5,Yes,Yes,Yes,No
80,Test,2,4,186,364,51.0989011,Australia,Ahmedabad,India,Bilateral,2023,571,9,No,Yes,Drawn,No
81,T20,2,Open,100,63,158.7301587,Sunrisers Hyderabad,Hyderabad,India,IPL,2023,187,2,No,Yes,Yes,No
82,T20,1,Open,101,61,165.5737705,Gujarat Titans,Bengaluru,India,IPL,2023,197,5,Yes,No,No,No
83,Test,1,4,121,206,58.73786408,West Indies,Port Of Spain,West Indies,Bilateral,2023,438,10,No,No,Drawn,No
84,ODI,1,3,122,94,129.787234,Pakistan,Colombo,Sri Lanka,Asia Cup,2023,356,2,Yes,Yes,Yes,No
85,ODI,2,3,103,97,106.185567,Bangladesh,Pune,India,World Cup,2023,261,3,Yes,Yes,Yes,No
86,ODI,1,3,101,121,83.47107438,South Africa,Kolkata,India,World Cup,2023,326,5,Yes,Yes,Yes,No
87,ODI,1,3,117,112,104.4642857,New Zealand,Mumbai,India,World Cup,2023,397,4,No,No,Yes,No
88,T20,1,Open,113,72,156.9444444,Rajasthan Royals,Jaipur,India,IPL,2024,183,3,Yes,No,No,No
